feature,feature,type,p_value,relevant
"T_z__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4","T_z__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",real,2.3215190129201963e-06,True
"T_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4","T_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",real,2.367994198961375e-06,True
"F_y__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4","F_y__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",real,2.5328671447632e-06,True
"F_y__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0","F_y__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",real,2.6160209144598862e-06,True
F_z__fourier_entropy__bins_3,F_z__fourier_entropy__bins_3,real,2.6248988170554966e-06,True
F_y__number_crossing_m__m_0,F_y__number_crossing_m__m_0,real,2.664599004424792e-06,True
"T_y__linear_trend__attr_""pvalue""","T_y__linear_trend__attr_""pvalue""",real,2.7448760750601308e-06,True
F_z__c3__lag_1,F_z__c3__lag_1,real,2.7448760750601308e-06,True
"F_y__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6","F_y__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",real,2.7889971482925768e-06,True
"T_x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8","T_x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8",real,2.8254318805522567e-06,True
"T_z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0","T_z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0",real,2.8640593654648865e-06,True
"F_y__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2","F_y__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",real,2.8786503768667867e-06,True
"F_y__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0","F_y__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",real,2.8789396215548906e-06,True
F_z__quantile__q_0.7,F_z__quantile__q_0.7,real,3.0063056604637087e-06,True
"F_z__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2","F_z__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",real,3.0195768052923736e-06,True
T_z__lempel_ziv_complexity__bins_10,T_z__lempel_ziv_complexity__bins_10,real,3.2148997238083298e-06,True
F_z__quantile__q_0.8,F_z__quantile__q_0.8,real,3.641557948053392e-06,True
"T_x__fft_aggregated__aggtype_""kurtosis""","T_x__fft_aggregated__aggtype_""kurtosis""",real,3.650894347048283e-06,True
T_y__range_count__max_1__min_-1,T_y__range_count__max_1__min_-1,real,3.7773397276621875e-06,True
"F_x__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""","F_x__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""",real,3.8077599689249234e-06,True
F_z__number_cwt_peaks__n_5,F_z__number_cwt_peaks__n_5,real,3.906361407358179e-06,True
"F_x__agg_autocorrelation__f_agg_""median""__maxlag_40","F_x__agg_autocorrelation__f_agg_""median""__maxlag_40",real,4.012225960469812e-06,True
F_y__maximum,F_y__maximum,real,4.0350475162561e-06,True
F_y__value_count__value_1,F_y__value_count__value_1,real,4.055087368669045e-06,True
"F_z__cwt_coefficients__coeff_14__w_5__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_14__w_5__widths_(2, 5, 10, 20)",real,4.205915893440005e-06,True
F_y__spkt_welch_density__coeff_2,F_y__spkt_welch_density__coeff_2,real,4.205915893440005e-06,True
T_z__last_location_of_minimum,T_z__last_location_of_minimum,real,4.347565645261021e-06,True
"T_z__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""","T_z__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""",real,4.4034241525258664e-06,True
T_y__longest_strike_above_mean,T_y__longest_strike_above_mean,real,4.461825735412343e-06,True
"F_y__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0","F_y__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",real,4.618725919642252e-06,True
"T_z__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""","T_z__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""",real,4.953285346798694e-06,True
"F_z__linear_trend__attr_""pvalue""","F_z__linear_trend__attr_""pvalue""",real,5.072139518246299e-06,True
"T_x__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4","T_x__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",real,5.6971331259429245e-06,True
"F_y__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6","F_y__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6",real,5.937127506605474e-06,True
F_z__autocorrelation__lag_2,F_z__autocorrelation__lag_2,real,6.10774922909561e-06,True
"F_y__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4","F_y__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",real,6.1758417592328474e-06,True
"F_z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2","F_z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",real,6.523974444030901e-06,True
F_y__benford_correlation,F_y__benford_correlation,real,6.696131221592355e-06,True
"F_z__cwt_coefficients__coeff_12__w_5__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_12__w_5__widths_(2, 5, 10, 20)",real,6.698631467917548e-06,True
"F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4","F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",real,6.936347934326167e-06,True
F_z__fourier_entropy__bins_2,F_z__fourier_entropy__bins_2,real,6.974123062089677e-06,True
"F_z__cwt_coefficients__coeff_11__w_5__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_11__w_5__widths_(2, 5, 10, 20)",real,7.688531499683519e-06,True
F_z__quantile__q_0.6,F_z__quantile__q_0.6,real,7.826125946525696e-06,True
"T_z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0","T_z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0",real,7.856466217110454e-06,True
"T_z__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4","T_z__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",real,7.96608483777916e-06,True
"F_z__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2","F_z__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",real,7.974193118047644e-06,True
"F_z__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0","F_z__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0",real,8.071043321170488e-06,True
"F_z__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2","F_z__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",real,8.233743114104924e-06,True
"F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8","F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8",real,8.28170859207845e-06,True
"F_z__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0","F_z__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0",real,8.462493452073381e-06,True
"F_y__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0","F_y__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",real,8.732680685394228e-06,True
"F_z__cwt_coefficients__coeff_6__w_5__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_6__w_5__widths_(2, 5, 10, 20)",real,8.817405703826196e-06,True
"T_z__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4","T_z__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",real,8.989398015196427e-06,True
"F_z__cwt_coefficients__coeff_13__w_5__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_13__w_5__widths_(2, 5, 10, 20)",real,9.227697539953978e-06,True
"T_x__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4","T_x__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",real,9.656192472029909e-06,True
"T_z__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6","T_z__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",real,1.0180821055032784e-05,True
"T_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2","T_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2",real,1.0349563165245266e-05,True
"F_y__fft_coefficient__attr_""abs""__coeff_7","F_y__fft_coefficient__attr_""abs""__coeff_7",real,1.0570880643021793e-05,True
T_y__value_count__value_-1,T_y__value_count__value_-1,real,1.1501858949491922e-05,True
"F_z__cwt_coefficients__coeff_10__w_5__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_10__w_5__widths_(2, 5, 10, 20)",real,1.1567956241225418e-05,True
"F_z__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""","F_z__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""",real,1.1567956241225418e-05,True
F_y__approximate_entropy__m_2__r_0.9,F_y__approximate_entropy__m_2__r_0.9,real,1.2370750860143838e-05,True
"T_z__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2","T_z__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",real,1.2572274421020048e-05,True
F_x__autocorrelation__lag_7,F_x__autocorrelation__lag_7,real,1.265442350705325e-05,True
F_y__quantile__q_0.9,F_y__quantile__q_0.9,real,1.4076069496000238e-05,True
"F_x__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""","F_x__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""",real,1.4465922397035757e-05,True
"F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0","F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0",real,1.4472774249952852e-05,True
"F_z__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0","F_z__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0",real,1.4714619857720011e-05,True
"T_x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6","T_x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",real,1.4891156934102363e-05,True
"T_y__fft_aggregated__aggtype_""kurtosis""","T_y__fft_aggregated__aggtype_""kurtosis""",real,1.51263725405119e-05,True
"F_y__linear_trend__attr_""pvalue""","F_y__linear_trend__attr_""pvalue""",real,1.51263725405119e-05,True
"T_y__agg_autocorrelation__f_agg_""mean""__maxlag_40","T_y__agg_autocorrelation__f_agg_""mean""__maxlag_40",real,1.51263725405119e-05,True
T_z__spkt_welch_density__coeff_2,T_z__spkt_welch_density__coeff_2,real,1.581141557357402e-05,True
"T_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4","T_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",real,1.6708415772679672e-05,True
"F_z__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0","F_z__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0",real,1.71390154172998e-05,True
"F_y__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2","F_y__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",real,1.8758714098260042e-05,True
"F_z__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""","F_z__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""",real,1.919187699234099e-05,True
"F_y__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""","F_y__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""",real,1.954365868982676e-05,True
"T_x__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""","T_x__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""",real,1.9714083638198206e-05,True
"F_z__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""","F_z__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""",real,2.011048408263347e-05,True
"F_z__cwt_coefficients__coeff_12__w_2__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_12__w_2__widths_(2, 5, 10, 20)",real,2.0597318137258886e-05,True
"F_z__cwt_coefficients__coeff_13__w_2__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_13__w_2__widths_(2, 5, 10, 20)",real,2.0597318137258886e-05,True
"F_y__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0","F_y__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0",real,2.1012747388145138e-05,True
T_x__has_duplicate_min,T_x__has_duplicate_min,binary,2.1054294255703115e-05,True
F_y__fourier_entropy__bins_5,F_y__fourier_entropy__bins_5,real,2.1375236836783788e-05,True
"F_z__cwt_coefficients__coeff_7__w_5__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_7__w_5__widths_(2, 5, 10, 20)",real,2.1518148688748827e-05,True
"T_y__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4","T_y__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",real,2.1951027155460223e-05,True
"F_y__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0","F_y__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0",real,2.206150627063155e-05,True
F_x__approximate_entropy__m_2__r_0.9,F_x__approximate_entropy__m_2__r_0.9,real,2.3447618272275798e-05,True
T_z__approximate_entropy__m_2__r_0.5,T_z__approximate_entropy__m_2__r_0.5,real,2.3465090805015843e-05,True
"F_y__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2","F_y__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",real,2.4499369783899655e-05,True
F_x__binned_entropy__max_bins_10,F_x__binned_entropy__max_bins_10,real,2.5007958906628888e-05,True
"F_y__fft_aggregated__aggtype_""centroid""","F_y__fft_aggregated__aggtype_""centroid""",real,2.674104888880048e-05,True
T_z__approximate_entropy__m_2__r_0.1,T_z__approximate_entropy__m_2__r_0.1,real,2.8317374444468718e-05,True
"T_y__agg_autocorrelation__f_agg_""median""__maxlag_40","T_y__agg_autocorrelation__f_agg_""median""__maxlag_40",real,2.9150706948711448e-05,True
F_z__autocorrelation__lag_9,F_z__autocorrelation__lag_9,real,3.0431594630337185e-05,True
"T_z__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4","T_z__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",real,3.189900790089755e-05,True
"T_z__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0","T_z__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0",real,3.212787344767097e-05,True
T_z__approximate_entropy__m_2__r_0.3,T_z__approximate_entropy__m_2__r_0.3,real,3.3137047157378884e-05,True
"T_z__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6","T_z__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6",real,3.442044480313492e-05,True
"F_x__agg_autocorrelation__f_agg_""mean""__maxlag_40","F_x__agg_autocorrelation__f_agg_""mean""__maxlag_40",real,3.4602925170466304e-05,True
T_y__autocorrelation__lag_9,T_y__autocorrelation__lag_9,real,3.4602925170466304e-05,True
"T_y__fft_coefficient__attr_""angle""__coeff_0","T_y__fft_coefficient__attr_""angle""__coeff_0",binary,3.517867654575213e-05,True
"F_y__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2","F_y__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",real,3.684327359463998e-05,True
"F_y__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0","F_y__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0",real,3.7555072044326046e-05,True
"F_z__linear_trend__attr_""intercept""","F_z__linear_trend__attr_""intercept""",real,3.7676606347123874e-05,True
F_z__quantile__q_0.9,F_z__quantile__q_0.9,real,3.9193521238178876e-05,True
"F_y__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""","F_y__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""",real,3.931361036783244e-05,True
"F_z__cwt_coefficients__coeff_8__w_5__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_8__w_5__widths_(2, 5, 10, 20)",real,3.931361036783244e-05,True
"T_z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2","T_z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",real,3.9636736165029975e-05,True
"F_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4","F_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",real,4.007869653431699e-05,True
T_x__fourier_entropy__bins_100,T_x__fourier_entropy__bins_100,real,4.118363169157449e-05,True
"T_z__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4","T_z__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",real,4.220025334176068e-05,True
"F_y__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""","F_y__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""",real,4.239466881124349e-05,True
"F_x__augmented_dickey_fuller__attr_""usedlag""__autolag_""AIC""","F_x__augmented_dickey_fuller__attr_""usedlag""__autolag_""AIC""",real,4.489744638147299e-05,True
"F_y__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0","F_y__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",real,4.6536409514424476e-05,True
"T_z__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2","T_z__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",real,4.917510303040393e-05,True
F_x__lempel_ziv_complexity__bins_10,F_x__lempel_ziv_complexity__bins_10,real,4.9373413266469524e-05,True
"T_z__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6","T_z__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",real,4.947822533780763e-05,True
"F_y__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2","F_y__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2",real,5.014872187653316e-05,True
F_z__c3__lag_2,F_z__c3__lag_2,real,5.062090841717643e-05,True
"T_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2","T_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2",real,5.21797279491221e-05,True
T_z__approximate_entropy__m_2__r_0.9,T_z__approximate_entropy__m_2__r_0.9,real,5.2690214560490826e-05,True
"F_y__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6","F_y__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",real,5.4860689374737565e-05,True
T_y__autocorrelation__lag_7,T_y__autocorrelation__lag_7,real,5.503105189807217e-05,True
T_y__value_count__value_0,T_y__value_count__value_0,real,5.6930120430122884e-05,True
F_x__minimum,F_x__minimum,real,5.823839420316926e-05,True
"F_z__cwt_coefficients__coeff_2__w_2__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_2__w_2__widths_(2, 5, 10, 20)",real,5.98035402312937e-05,True
T_y__ratio_beyond_r_sigma__r_1,T_y__ratio_beyond_r_sigma__r_1,real,5.989748927651053e-05,True
"T_z__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2","T_z__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",real,6.097896870618121e-05,True
"F_y__fft_aggregated__aggtype_""skew""","F_y__fft_aggregated__aggtype_""skew""",real,6.233427343931678e-05,True
"F_z__cwt_coefficients__coeff_11__w_2__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_11__w_2__widths_(2, 5, 10, 20)",real,6.233427343931678e-05,True
"F_y__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min""","F_y__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min""",real,6.252313156255674e-05,True
"F_y__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""","F_y__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""",real,6.426524054202928e-05,True
F_z__absolute_maximum,F_z__absolute_maximum,real,6.461977326752476e-05,True
"T_y__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.8","T_y__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.8",real,6.874774095565165e-05,True
T_z__approximate_entropy__m_2__r_0.7,T_z__approximate_entropy__m_2__r_0.7,real,7.052275005188493e-05,True
"T_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2","T_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",real,7.297624380438762e-05,True
"T_z__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0","T_z__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0",real,7.447476833512899e-05,True
T_y__fourier_entropy__bins_100,T_y__fourier_entropy__bins_100,real,7.556260549665434e-05,True
"F_y__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8","F_y__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8",real,7.977186139177087e-05,True
"F_y__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0","F_y__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0",real,8.086751085946032e-05,True
"F_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4","F_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",real,8.23441639630049e-05,True
"T_x__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""","T_x__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""",real,8.409506212895855e-05,True
"F_y__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""","F_y__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""",real,8.655639449883874e-05,True
"F_z__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2","F_z__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",real,8.655639449883874e-05,True
F_y__approximate_entropy__m_2__r_0.7,F_y__approximate_entropy__m_2__r_0.7,real,9.013225779703856e-05,True
"T_y__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""","T_y__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""",real,9.7741520274451e-05,True
"T_z__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""","T_z__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""",real,9.990841784241484e-05,True
"F_x__fft_coefficient__attr_""angle""__coeff_0","F_x__fft_coefficient__attr_""angle""__coeff_0",binary,0.00010082130151330506,True
"F_z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4","F_z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",real,0.00010230263225787588,True
"T_z__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2","T_z__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",real,0.00010371271779478798,True
"F_x__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""","F_x__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""",real,0.00010375797474617816,True
"T_z__linear_trend__attr_""pvalue""","T_z__linear_trend__attr_""pvalue""",real,0.00010588012035707456,True
T_z__longest_strike_below_mean,T_z__longest_strike_below_mean,real,0.00010842179556346925,True
"F_z__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4","F_z__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",real,0.00011459225535588133,True
T_y__energy_ratio_by_chunks__num_segments_10__segment_focus_4,T_y__energy_ratio_by_chunks__num_segments_10__segment_focus_4,real,0.00011480736683890681,True
F_y__fourier_entropy__bins_10,F_y__fourier_entropy__bins_10,real,0.00011982579835046885,True
T_x__longest_strike_above_mean,T_x__longest_strike_above_mean,real,0.0001226949668308263,True
"F_z__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""","F_z__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""",real,0.00012435472634950257,True
"F_x__fft_aggregated__aggtype_""skew""","F_x__fft_aggregated__aggtype_""skew""",real,0.00012939560112848705,True
F_z__energy_ratio_by_chunks__num_segments_10__segment_focus_4,F_z__energy_ratio_by_chunks__num_segments_10__segment_focus_4,real,0.00012940445801405104,True
"T_y__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8","T_y__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8",real,0.0001310535076854177,True
T_x__fourier_entropy__bins_3,T_x__fourier_entropy__bins_3,real,0.00013135327563069566,True
F_y__longest_strike_above_mean,F_y__longest_strike_above_mean,real,0.0001350029816828281,True
"F_y__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2","F_y__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2",real,0.00014022010628545145,True
T_z__value_count__value_-1,T_z__value_count__value_-1,real,0.0001446770948117581,True
T_y__number_peaks__n_1,T_y__number_peaks__n_1,real,0.00014774567024731746,True
"F_y__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0","F_y__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",real,0.00014860222173134356,True
"F_z__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2","F_z__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",real,0.0001576430928543797,True
F_z__autocorrelation__lag_6,F_z__autocorrelation__lag_6,real,0.00016399885023345994,True
"F_z__fft_coefficient__attr_""real""__coeff_6","F_z__fft_coefficient__attr_""real""__coeff_6",real,0.00016399885023345994,True
"F_z__cwt_coefficients__coeff_9__w_5__widths_(2, 5, 10, 20)","F_z__cwt_coefficients__coeff_9__w_5__widths_(2, 5, 10, 20)",real,0.00016399885023345994,True
F_x__quantile__q_0.1,F_x__quantile__q_0.1,real,0.0001642260762475671,True
T_x__energy_ratio_by_chunks__num_segments_10__segment_focus_3,T_x__energy_ratio_by_chunks__num_segments_10__segment_focus_3,real,0.00017054976502720883,True
"F_z__agg_autocorrelation__f_agg_""mean""__maxlag_40","F_z__agg_autocorrelation__f_agg_""mean""__maxlag_40",real,0.00017054976502720883,True
"F_y__agg_autocorrelation__f_agg_""median""__maxlag_40","F_y__agg_autocorrelation__f_agg_""median""__maxlag_40",real,0.0001773462309574948,True
"T_y__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""","T_y__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""",real,0.0001992955735533115,True
F_y__autocorrelation__lag_3,F_y__autocorrelation__lag_3,real,0.0001992955735533115,True
T_y__longest_strike_below_mean,T_y__longest_strike_below_mean,real,0.0002103819446565015,True
